,text,newsela_score,Subordination,Complements,Coordination,Apposition,Passive verbs,Parataxis,Auxiliary Verbs,Negation,Prepositional Phrases,Modifiers,Mean word length,Mean sentence length,Basic english ratio,Syllables per sentence,Type token ratio,#nouns,#verbs,#adjectives,#adverbs,#pronouns,#commas,feature_sums
0,44452,1250,0.6125706251642195,0.9410916910403632,0.3970306940012648,2.1029857056395382,0.435027746351149,1.1434113717166712,0.6876793236386489,0.49239340892298317,0.5266785073686989,0.5438404128888927,1.0053598101195258,0.7501724395454644,0.4690709883588221,0.7475020184006171,2.089380215016347,0.8849432426643821,0.8354382236818275,0.3970923547639,0.6591614906832297,0.8429661371237458,0.6096389952692047,17.173435402359498
1,44089,660,0.17349494830359155,0.39647844391052334,0.2954336140548132,0.9346603136175724,0.47876069439703167,0.0,0.2820522877475391,0.2844939695999458,0.31630075233452726,0.32792315654290455,0.9396656823311453,0.41657066251770386,0.405701449162403,0.37411818771411187,2.2588704368814314,0.5442307692307692,0.43526370879883797,0.2634555046029721,0.29155219780219777,0.45788646449704146,0.211488640892786,10.088401884939847
2,44271,1060,0.27254479151691474,0.6951245445184501,0.4436243787518265,0.45883324486680827,0.6463269374359928,1.0810434787139436,0.5538481286678949,0.3724284692944745,0.47653335915979245,0.5237871640194128,0.9724180238571384,0.6147851931910295,0.42463047761903205,0.5752806082863497,2.0451008317192665,0.6217635467980295,0.6978728131074702,0.6697624383684446,0.5631122448979592,0.43538461538461537,0.42889896373056996,13.573104253905415
3,43993,810,0.3513272703147729,0.8602166238415819,0.35191356968293924,0.2628732132049423,0.20197716794874776,0.0,0.6208216116182247,0.640111431599878,0.27608147563681795,0.3799258959200443,0.9175048823011586,0.4714434018036174,0.38736535472440514,0.41718822738323075,2.279102122509775,0.43045544896724564,0.6783495812566684,0.527424567694449,0.5066237021124239,0.6206140350877193,0.3472866103081538,11.528606193916797
4,44384,850,0.3122909069464648,0.6170754728532205,0.1317103418696381,0.14757794425540616,0.1700860361673665,2.0862242571672596,0.2904428592365963,0.3593608037051947,0.3616505879686972,0.38948924799125817,0.932548360546959,0.46971860887018957,0.38882938563376823,0.41718822738323075,2.1079427776791526,0.5705436964057653,0.5151963960628221,0.4016883310921859,0.4545540438397581,0.41573183760683763,0.3156663788140472,11.85551650209582
5,44107,610,0.2465454528524722,0.6439048412381432,0.07408706730167142,0.0,0.1700860361673665,0.0,0.3659580026381114,1.078082411115584,0.1782420754988579,0.41730990856206235,0.9451351333424156,0.3820169948552239,0.3222575541720124,0.34692494698184456,2.156977810208053,0.3704292751583392,0.47153568453207445,0.4457834411218544,0.6806851311953352,0.5053571428571428,0.17281643227239082,9.974135342070957
6,44256,830,0.31786753028479453,0.5461692849787821,0.23460904645529285,0.9012795881312305,0.3462465736264247,0.0,0.44935659507604836,0.9144449022855401,0.27345212824980064,0.4861163637237833,0.9456500369597909,0.4501709556246737,0.5006890021726816,0.4272038265632529,2.3173420393280884,0.49404545847377057,0.5004896300735175,0.35384179857982023,0.6332796276405298,0.3580465587044534,0.24117125715844012,11.691472204090713
7,44256,1050,0.5780704022200519,0.4880661695555075,0.35940109244215074,1.9687525754923336,0.4813072938353138,0.0,0.5213140341531759,1.0895513729359627,0.3947377694211525,0.5398392008632635,0.9349599062354222,0.6218699854975764,0.5404387896969499,0.5844817521484361,2.3386695815414678,0.6870865587614357,0.6848494465822985,0.4802138695011846,0.7563168124392614,0.453525641025641,0.31421169504071056,14.817663949389296
9,44395,670,0.10810069855839168,0.676409652935261,0.16242164754597196,0.0,0.24858728362922802,0.0,0.5093920915841843,0.29543604535378987,0.2321916000227597,0.2795441374662533,0.9475520657894257,0.38589601896264736,0.41835063173865755,0.3620709857418372,2.2364054003995397,0.4352970744948226,0.5196515707088166,0.30288421957756656,0.412536443148688,0.49980376766091056,0.14588400126890136,9.178415336587655
10,44581,870,0.36660236902411086,0.7313919120585431,0.27201048864381777,0.48764885927873347,0.7025292798217313,0.0,0.5854317806177655,0.2968632726260304,0.37557750502090786,0.28727856024199944,0.9769138730322119,0.48726814134036817,0.43369093814197673,0.4539036710355945,2.26762836967774,0.5804893806024387,0.6647880142583344,0.31192363932956624,0.2722064235530277,0.524156683480454,0.279442368130468,11.35774552991582
11,44322,1090,0.32305955891013605,1.0546717227176485,0.5015779613871778,1.7404019632878935,0.44574271547309846,0.0,0.4795311758706287,0.3531649277792431,0.5077360471481709,0.5377062155150251,1.0016224222009464,0.6436731967975435,0.5044510385756676,0.6301323672789414,2.25119673537629,0.8259317780462868,0.6361283291328929,0.4810686467697876,0.326915671929149,0.6289459361393324,0.5706202952390262,14.444278705574886
13,44428,580,0.10409696898215492,0.2831988885075167,0.05213534365673174,0.6231068757450483,0.05984508679962896,1.1010628023938314,0.1594208582920873,0.2844939695999458,0.2781265236044981,0.26919065089342914,0.8955032236922874,0.3571377367869215,0.429803412462908,0.31412346659038104,2.333163221545587,0.503578968533226,0.36086914632556716,0.23298786121351275,0.23573511037067885,0.3470859497645212,0.1122184625145395,9.336884528275
14,44442,380,0.03747490883357578,0.48936767934098885,0.09384361858211714,0.16823885645116304,0.452428856205195,0.0,0.3311048595297198,0.6145069743358829,0.21792031143599497,0.16386369076203647,0.8450641919119913,0.2908432083992743,0.3688734267880897,0.2456470154657839,2.274742859190768,0.28462643678160915,0.407681893918356,0.21405759748991485,0.27072704081632654,0.4960436698717948,0.08018944300518135,8.347246539115766
15,44271,820,0.2342181802098486,0.6554031419745385,0.201093468390251,0.15021326468853843,0.3462465736264247,0.0,0.43753142152141544,0.274333470685662,0.4417303610189087,0.33037034427829937,0.9486072381679345,0.48192743728131615,0.3838178553061825,0.43053480638104313,1.9644493638676845,0.5467014391963682,0.5547478641553817,0.3880085427268173,0.396358543417367,0.34681372549019607,0.30188966778421217,9.814996710168392
16,44472,660,0.2261416912370952,0.5537026544267654,0.29123881628932907,1.1602679755252623,0.0,0.0,0.2626004058339157,0.794621087503297,0.2741774654600123,0.40555807780370545,0.8095067520386496,0.45998659540945414,0.3950329912996396,0.38405270310303163,1.9917229462484674,0.4359695476936856,0.46724899649087376,0.339032639256754,0.6300556586270871,0.8658216783216783,0.27993405558172396,11.026672738150427
17,44442,800,0.2794181798994685,0.50975799931353,0.2634206837392762,0.4427338327662185,0.5102581085020995,0.0,0.40662000293123485,0.539041205557792,0.38748277282360416,0.2967537127552443,0.8968162234963573,0.4736346481718717,0.4127418904866976,0.4234025505319383,2.1751387698562974,0.5050283483595129,0.5204686329269124,0.34464619470074337,0.3677801309202926,0.6289459361393324,0.36312200606119854,10.747211829939623
18,44107,830,0.32364693992633625,0.778539489860664,0.20474971327007374,0.15294441495560276,0.23502797724945193,0.0,0.3732454780153205,0.8379640559125676,0.2623610629082003,0.45651174845728637,1.0001768217223246,0.47036117878656464,0.3526592102259758,0.4490478030554279,1.9317049388895842,0.5111658456486042,0.5408791675514971,0.4700872729190287,0.73609443777511,0.3601527149321267,0.25876257238646755,10.706082844448215
19,42157,560,0.18737454416787888,0.6352368914522452,0.21656219672796265,0.12941450496243312,0.1491523701775368,0.0,0.44826504059408223,0.4726976725660638,0.2219978224607849,0.19923873070322054,0.8770894710258211,0.34356762464248675,0.3335226639346438,0.29500661579815896,2.08412155020552,0.3844986492928651,0.4753383916653976,0.21482482902213676,0.2678159973666886,0.5047301488833746,0.10642654186862777,8.546882257517929
21,44452,1040,0.5110214840942151,0.8804910897233701,0.2559371415875922,1.5294441495560278,0.4896416192696915,0.900869565594953,0.65217623846763,0.46553558661809313,0.4238826696646094,0.4004489021555144,0.9824573979523784,0.6182067146304938,0.42801374232554323,0.6006617297025285,2.0433770224206635,0.7324872672622527,0.763248438522256,0.30959742913795596,0.4649775164303009,0.7264097131681878,0.4380324053745499,14.616917823658806
22,44367,1030,0.5373240604814173,0.8545942929668003,0.22080851431086385,1.2370504150820814,0.5227644346908765,1.7487468038019676,0.5550875586233538,0.5271505907293114,0.3854313934380674,0.559686230306766,0.9935496793924025,0.5950809396982246,0.4765665003053727,0.5614788924932204,2.0614755711845407,0.7169598874032371,0.7147882202033826,0.5255170647371454,0.40107709750566894,0.5291132478632479,0.5498704663212435,15.274121861539191
23,42157,830,0.36660236902411086,0.6649017382350392,0.34001311080477226,0.24382442963936674,0.37468228257159003,0.0,0.5182510844813006,0.5195107270955532,0.35423787405381085,0.2949393218484528,0.9215805827048833,0.4739200275541805,0.39812785053813,0.42461992050260816,2.0828268637323375,0.5147404319818113,0.5876060068784312,0.35712857290625105,0.3887362637362637,0.586094674556213,0.36376046233559184,10.776104595180696
24,44089,510,0.08327757518572396,0.20390319972541202,0.14597896223884888,0.747728250894058,0.35907052079777374,0.0,0.26488388762377585,0.22759517567995666,0.28794275384936274,0.2525497742927444,0.9287993931075296,0.3490499559695189,0.3630315399385045,0.30638058314557953,2.3856824394146474,0.444163134379654,0.36735919608894174,0.2654977953363285,0.16789273849074512,0.42715787119856885,0.1150891673695626,8.693033914727236
26,44367,1150,0.6472938798526725,0.889759416983616,0.3412495221167896,1.835332979467233,0.29378497156181493,1.0810434787139436,0.4454865382763503,0.5586427039417118,0.4176359776906046,0.6919757029247289,1.013942478106204,0.6783610607171806,0.48762754994208996,0.64422645218021,2.283354722130029,0.8503940886699507,0.7403110247153569,0.7382608695652174,0.4331632653061224,0.5170192307692307,0.6488471502590674,16.237713063890126
